"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"City of Joplin","MO","Health Plan","513","09/08/2021","Hacking/IT Incident","Network Server","No",""
"Resource Anesthesiology Association of California, a Medical Corporation","CA","Healthcare Provider","2835","09/05/2021","Theft","Laptop, Paper/Films","No",""
"Asarco Health, Dental, Vision, Flexible Spending, Non-Union Employee Benefits, and Retiree Medical Plans","AZ","Health Plan","28000","09/03/2021","Hacking/IT Incident","Network Server","No",""
"Eastern Connecticut Pathology Consultants, P.C.","CT","Healthcare Provider","5978","09/03/2021","Hacking/IT Incident","Email","Yes",""
"ADEC, Inc.","IN","Healthcare Provider","2000","09/03/2021","Hacking/IT Incident","Email","No",""
"USV Optical, Inc.","NJ","Healthcare Provider","180000","09/03/2021","Hacking/IT Incident","Network Server","No",""
"California Department of State Hospitals - Coalinga","CA","Healthcare Provider","1738","09/03/2021","Unauthorized Access/Disclosure","Email","No",""
"Sequoia Concepts, Inc.","CA","Business Associate","2230","09/02/2021","Hacking/IT Incident","Network Server","Yes",""
"Dan L. Beaupre","WI","Business Associate","2000","09/01/2021","Unauthorized Access/Disclosure","Network Server, Paper/Films","Yes",""
"Thomas Eye Group","GA","Healthcare Provider","500","08/30/2021","Unauthorized Access/Disclosure","Network Server","No",""
"Ijaola, LLC d/b/a Mercy Grace Private Practice ","AZ","Healthcare Provider","4450","08/30/2021","Hacking/IT Incident","Email","No",""
"Queen Creek Medical Center d/b/a Desert Wells Family Medicine","AZ","Healthcare Provider","35000","08/30/2021","Hacking/IT Incident","Network Server","No",""
"Healthpointe Medical Group, Inc.","CA","Healthcare Provider","11000","08/30/2021","Hacking/IT Incident","Network Server","No",""
"Easterseals Delaware & Maryland's Eastern Shore","DE","Healthcare Provider","501","08/30/2021","Hacking/IT Incident","Email","No",""
"DuPage Medical Group, Ltd. ","IL","Healthcare Provider","655384","08/30/2021","Hacking/IT Incident","Network Server","No",""
"CareATC, Inc.","OK","Healthcare Provider","98774","08/27/2021","Hacking/IT Incident","Email","No",""
"Family Medical Center of Michigan ","MI","Healthcare Provider","21988","08/26/2021","Hacking/IT Incident","Network Server","No",""
"Medical Business Management","AL","Business Associate","1750","08/25/2021","Hacking/IT Incident","Network Server","Yes",""
"LifeLong Medical Care","CA","Healthcare Provider","115448","08/25/2021","Hacking/IT Incident","Network Server","Yes",""
"San Andreas Regional Center","CA","Business Associate","57244","08/25/2021","Hacking/IT Incident","Network Server","Yes",""
"The Wedge Medical Center","PA","Healthcare Provider","29000","08/24/2021","Hacking/IT Incident","Network Server","No",""
"Denton County, Texas","TX","Healthcare Provider","326417","08/24/2021","Unauthorized Access/Disclosure","Network Server","No",""
"CarePointe ENT","IN","Healthcare Provider","48742","08/23/2021","Hacking/IT Incident","Network Server","No",""
"Gregory P. Vannucci DDS","IA","Healthcare Provider","26144","08/20/2021","Hacking/IT Incident","Network Server","No",""
"Central Utah Clinic, P.C. dba Revere Health","UT","Healthcare Provider","12433","08/19/2021","Hacking/IT Incident","Email","No",""
"Nova Biomedical Corporation","MA","Health Plan","3774","08/17/2021","Hacking/IT Incident","Network Server","No",""
"Nashua Regional Cancer Center dba Radiation Center of Greater Nashua","NH","Healthcare Provider","520","08/17/2021","Hacking/IT Incident","Network Server","Yes",""
"Metro Infectious Disease Consultants","IL","Healthcare Provider","171740","08/16/2021","Hacking/IT Incident","Email","No",""
"UTMP Surgical Oncology","TN","Healthcare Provider","1310","08/16/2021","Unauthorized Access/Disclosure","Paper/Films","No",""
"Texoma Community Center","TX","Healthcare Provider","24021","08/16/2021","Hacking/IT Incident","Email","No",""
"Alluma, Inc","MN","Healthcare Provider","4117","08/15/2021","Unauthorized Access/Disclosure","Paper/Films","No",""
"McCoy Consulting Services LLC","WV","Business Associate","5500","08/13/2021","Hacking/IT Incident","Email","Yes",""
"Fairfax Medical Facilities, Inc.","OK","Healthcare Provider","4970","08/13/2021","Hacking/IT Incident","Email","No",""
"University Medical Center Southern Nevada","NV","Healthcare Provider","1300000","08/13/2021","Hacking/IT Incident","Network Server","No",""
"Frisco Fertility Center, PLLC dba Dallas IVF","TX","Healthcare Provider","552","08/12/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Waste Management Health and Welfare Benefits Plan","TX","Health Plan","922","08/12/2021","Hacking/IT Incident","Network Server","No",""
"Children's Hospital of The King's Daughters","VA","Healthcare Provider","914","08/11/2021","Hacking/IT Incident","Email","No",""
"Express MRI – Norcross, LLC","GA","Business Associate","1707","08/11/2021","Hacking/IT Incident","Email","Yes",""
"St. Joseph's/Candler Health System, Inc.","GA","Healthcare Provider","1400000","08/10/2021","Hacking/IT Incident","Network Server","No",""
"Electromed","MN","Healthcare Provider","47200","08/09/2021","Hacking/IT Incident","Network Server","No",""
"Long Island Jewish Forest Hills Hospital ","NY","Healthcare Provider","10333","08/06/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Wisconsin Institute of Urology S.C.","WI","Healthcare Provider","4819","08/05/2021","Hacking/IT Incident","Email","No",""
"UNM Health","NM","Healthcare Provider","637252","08/03/2021","Hacking/IT Incident","Network Server","No",""
"Vision for Hope ","IL","Healthcare Provider","5517","08/03/2021","Hacking/IT Incident","Email","No",""
"Hospice of the Piedmont","VA","Healthcare Provider","10682","08/02/2021","Hacking/IT Incident","Email","No",""
"Valley Physical Medicine & Rehabilitation","AZ","Health Plan","1866","08/02/2021","Unauthorized Access/Disclosure","Email","No",""
"UF Health Central Florida","FL","Healthcare Provider","700981","07/30/2021","Hacking/IT Incident","Network Server","No",""
"UnitedHealth Group Single Affiliated Covered Entity","MN","Health Plan","774","07/30/2021","Unauthorized Access/Disclosure","Network Server","No",""
"Eau Claire Cooperative Health, Inc. DBA Cooperative Health","SC","Healthcare Provider","3755","07/29/2021","Hacking/IT Incident","Other","Yes",""
"K&B Surgical Center LLC","CA","Healthcare Provider","18444","07/28/2021","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Network Server","No",""
"A2Z Diagnostics, LLC","NJ","Healthcare Provider","35587","07/28/2021","Hacking/IT Incident","Email","No",""
"Benefis Hospitals Inc","MT","Healthcare Provider","81043","07/27/2021","Hacking/IT Incident","Email","No",""
"Harris County","TX","Healthcare Provider","26000","07/27/2021","Unauthorized Access/Disclosure","Other","No",""
"siParadigm, LLC","NJ","Healthcare Provider","1654","07/26/2021","Unauthorized Access/Disclosure","Network Server","No",""
"NCH Corporation","TX","Health Plan","11427","07/24/2021","Hacking/IT Incident","Network Server","No",""
"Yale New Haven Health Services Corporation (""YNHHS"")","CT","Healthcare Provider","14603","07/23/2021","Hacking/IT Incident","Network Server","Yes",""
"Mobile County Commission ","AL","Business Associate","1337","07/23/2021","Hacking/IT Incident","Network Server","Yes",""
"Medi-Lynx Cardiac Monitoring","TX","Healthcare Provider","1841","07/23/2021","Hacking/IT Incident","Network Server","No",""
"Electrical Workers Local 369","KY","Health Plan","662","07/23/2021","Hacking/IT Incident","Email","No",""
"Ascension Via Christi ACE","KS","Healthcare Provider","1977","07/23/2021","Hacking/IT Incident","Email","Yes",""
"West Holt Memorial Hospital","NE","Healthcare Provider","541","07/22/2021","Hacking/IT Incident","Email","No",""
"Thomas Jefferson University Hospital","PA","Business Associate","1346","07/22/2021","Hacking/IT Incident","Network Server","Yes",""
"North Oklahoma County Mental Health Center d/b/a NorthCare","OK","Healthcare Provider","128556","07/21/2021","Hacking/IT Incident","Network Server","No",""
"Academic HealthPlans, Inc.","TX","Business Associate","2330","07/21/2021","Hacking/IT Incident","Email","Yes",""
"Prestera Center for Mental Health Services","WV","Healthcare Provider","2152","07/20/2021","Hacking/IT Incident","Email","No",""
"Standard Modern Company, Inc. ","MA","Business Associate","2707","07/20/2021","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Texas Health Presbyterian Hospital Flower Mound","TX","Healthcare Provider","781","07/20/2021","Unauthorized Access/Disclosure","Email","No",""
"Orlando Family Physicians, LLC","FL","Healthcare Provider","447426","07/20/2021","Hacking/IT Incident","Email","No",""
"Youth Consultation Service","NJ","Healthcare Provider","2756","07/19/2021","Hacking/IT Incident","Network Server","No",""
"The University of North Carolina at Chapel Hill School of Medicine","NC","Healthcare Provider","2718","07/19/2021","Hacking/IT Incident","Email","No",""
"The Cancer Center of Greenwood Leflore Hospital","MS","Healthcare Provider","2700","07/19/2021","Hacking/IT Incident","Network Server","Yes",""
"Dynamic Health Care, Inc. ","IL","Business Associate","947","07/16/2021","Hacking/IT Incident","Network Server","Yes",""
"CleanSlate Centers, Inc.","TN","Healthcare Provider","856","07/16/2021","Hacking/IT Incident","Email","No",""
"Adena Fayette Medical Center","OH","Healthcare Provider","1389","07/16/2021","Hacking/IT Incident","Email","No",""
"Guidehouse","VA","Business Associate","84220","07/15/2021","Hacking/IT Incident","Other","Yes",""
"City of Lincoln Aging Partners","NE","Business Associate","1513","07/14/2021","Hacking/IT Incident","Email","Yes",""
"Nystrom & Associates","MN","Healthcare Provider","985","07/13/2021","Hacking/IT Incident","Email","No",""
"The George Washington University Medical Faculty Associates ","DC","Healthcare Provider","576","07/13/2021","Unauthorized Access/Disclosure","Email","No",""
"Bakersfield Hematology Oncology Inc.","CA","Healthcare Provider","1286","07/12/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"CSI Financial Services, LLC (""ClearBalance"")","CA","Business Associate","5156","07/10/2021","Hacking/IT Incident","Email","Yes",""
"Starling Physicians ","CT","Healthcare Provider","2808","07/09/2021","Hacking/IT Incident","Email","No",""
"CNA Financial Corporation","IL","Health Plan","5095","07/08/2021","Hacking/IT Incident","Network Server","No",""
"Osborn Cancer Care","WA","Healthcare Provider","4614","07/08/2021","Hacking/IT Incident","Network Server","Yes",""
"Forefront Dermatology, S.C. ","WI","Healthcare Provider","2413553","07/08/2021","Hacking/IT Incident","Network Server","Yes",""
"Lake County Health Department and Community Health Center","IL","Healthcare Provider","705","07/08/2021","Unauthorized Access/Disclosure","Network Server","No",""
"Florida Heart Associates","FL","Healthcare Provider","45148","07/07/2021","Hacking/IT Incident","Network Server","No",""
"Hope Medical LLC","GA","Healthcare Provider","500","07/07/2021","Unauthorized Access/Disclosure","Paper/Films","No",""
"HealthReach Community Health Centers","ME","Healthcare Provider","122340","07/06/2021","Improper Disposal","Electronic Medical Record","No",""
"Hot Springs Health Program","NC","Healthcare Provider","1984","07/06/2021","Unauthorized Access/Disclosure","Email","No",""
"Coastal Family Health Center, Inc","MS","Healthcare Provider","62342","07/02/2021","Hacking/IT Incident","Network Server","No",""
"University of Maryland, Baltimore ","MD","Business Associate","37263","07/02/2021","Hacking/IT Incident","Network Server","Yes",""
"CentraCare Health System","MN","Healthcare Provider","842","07/02/2021","Hacking/IT Incident","Network Server","Yes",""
"St. Vincent's Services, Inc. D/B/A HeartShare St. Vincent's Services","NY","Healthcare Provider","1927","07/02/2021","Hacking/IT Incident","Network Server","Yes",""
"HeartShare Wellness, LTD","NY","Healthcare Provider","586","07/02/2021","Hacking/IT Incident","Network Server","Yes",""
"Professional Business Systems, Inc., d/b/a Practicefirst Medical Management Solutions and PBS Medcode Corp., (“Practicefirst”)","NY","Business Associate","1210688","07/01/2021","Hacking/IT Incident","Network Server","Yes",""
"Wayne County Hospital","IA","Healthcare Provider","2016","07/01/2021","Hacking/IT Incident","Email","No",""
"Florida Blue ","FL","Health Plan","30063","07/01/2021","Hacking/IT Incident","Network Server","No",""
"PracticeMax, Inc.","AZ","Business Associate","500","06/30/2021","Hacking/IT Incident","Network Server","Yes",""
"NYC Health + Hospitals","NY","Healthcare Provider","43727","06/30/2021","Hacking/IT Incident","Network Server","Yes",""
"Francisco J. Pabalan MD, INC","CA","Healthcare Provider","50000","06/30/2021","Hacking/IT Incident","Network Server","No",""
"Dermatology Group of Arkansas, PA","AR","Healthcare Provider","1579","06/29/2021","Hacking/IT Incident","Email","No",""
"Peoples Community Health Clinic","IA","Healthcare Provider","40084","06/29/2021","Hacking/IT Incident","Email","No",""
"Penn Foundation","PA","Healthcare Provider","768","06/29/2021","Hacking/IT Incident","Network Server","No",""
"Dental Center of Westport Group LLC","CT","Healthcare Provider","2175","06/28/2021","Hacking/IT Incident","Email","No",""
"CVS Caremark","RI","Business Associate","3064","06/28/2021","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Physicians Dialysis ","FL","Healthcare Provider","1998","06/25/2021","Hacking/IT Incident","Network Server","No",""
"Northwestern Memorial HealthCare","IL","Healthcare Provider","201197","06/25/2021","Hacking/IT Incident","Network Server","Yes",""
"Smile Brands, Inc.","CA","Business Associate","2592494","06/24/2021","Hacking/IT Incident","Network Server","Yes",""
"MultiPlan","NY","Business Associate","214956","06/24/2021","Hacking/IT Incident","Email","Yes",""
"Aultman Health Foundation","OH","Healthcare Provider","7354","06/24/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Abode Services","CA","Healthcare Provider","1172","06/22/2021","Hacking/IT Incident","Email","No",""
"Tiburcio Vasquez Health Center Inc.","CA","Healthcare Provider","2042","06/22/2021","Hacking/IT Incident","Network Server","Yes",""
"United Neighborhood Health Services d/b/a Neighborhood Health","TN","Healthcare Provider","1519","06/22/2021","Hacking/IT Incident","Network Server","Yes",""
"Hawaii Independent Physicians Association","HI","Business Associate","18770","06/22/2021","Hacking/IT Incident","Email","Yes",""
"Renown Health","NV","Healthcare Provider","65181","06/22/2021","Hacking/IT Incident","Network Server","Yes",""
"Charles E. Jones DDS PC, DBA Jones Family Dental","OR","Healthcare Provider","6493","06/18/2021","Hacking/IT Incident","Network Server","No",""
"University of Wisconsin Hospitals and Clinics Authority","WI","Healthcare Provider","4318","06/18/2021","Hacking/IT Incident","Network Server","No",""
"Walmart Inc.","AR","Healthcare Provider","14532","06/18/2021","Loss","Paper/Films","No",""
"JFK Medical Associates, PA d/b/a Coastal Medical Group","NJ","Healthcare Provider","1304","06/18/2021","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Prominence Health Plan	","NV","Health Plan","45380","06/18/2021","Hacking/IT Incident","Network Server","No",""
"Reproductive Biology Associates, LLC and its affiliate My Egg Bank, LLC","GA","Healthcare Provider","38000","06/15/2021","Hacking/IT Incident","Network Server","No",""
"Health Care Service Corp","IL","Health Plan","543","06/15/2021","Hacking/IT Incident","Network Server","Yes",""
"Golden Care Pharmacy LLC","NJ","Healthcare Provider","5530","06/14/2021","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Network Server","No",""
"Centura Health","CO","Healthcare Provider","738","06/12/2021","Hacking/IT Incident","Email","No",""
"Care Inns of Texas, Ltd","TX","Business Associate","550","06/11/2021","Hacking/IT Incident","Email","Yes",""
"Illinois Attorney General's Office","IL","Business Associate","501","06/09/2021","Hacking/IT Incident","Network Server","Yes",""
"Falcon Group International Corp","NY","Healthcare Provider","1900","06/09/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Minnesota Community Care","MN","Healthcare Provider","64855","06/08/2021","Hacking/IT Incident","Network Server","Yes",""
"UC San Diego Health","CA","Healthcare Provider","495949","06/08/2021","Hacking/IT Incident","Network Server","No",""
"PA Health & Wellness, Inc.","PA","Health Plan","1325","06/07/2021","Hacking/IT Incident","Network Server","Yes",""
"Glacier Medical Associates","MT","Healthcare Provider","3007","06/07/2021","Hacking/IT Incident","Network Server","No",""
"Discovery Practice Management, Inc.","CA","Business Associate","13611","06/05/2021","Hacking/IT Incident","Email","Yes",""
"San Juan Regional Medical Center","NM","Healthcare Provider","68792","06/04/2021","Hacking/IT Incident","Network Server","No",""
"Wisconsin Department of Health Services","WI","Health Plan","2868","06/04/2021","Hacking/IT Incident","Email","No",""
"East Jordan Family Health Center","MI","Healthcare Provider","1151","06/04/2021","Hacking/IT Incident","Network Server","Yes",""
"Steward Medical Group","MA","Healthcare Provider","640","06/04/2021","Hacking/IT Incident","Email","No",""
"AtriCure, Inc. Group Health Plan","OH","Health Plan","2487","06/04/2021","Hacking/IT Incident","Email","No",""
"Cancer Centers of Southwest Oklahoma, LLC","OK","Healthcare Provider","8000","06/04/2021","Hacking/IT Incident","Electronic Medical Record, Network Server","Yes",""
"Absolute Total Care","SC","Health Plan","1286","06/04/2021","Hacking/IT Incident","Network Server","Yes",""
"Turning Point Clinic","MD","Healthcare Provider","700","06/03/2021","Hacking/IT Incident","Network Server","No",""
"Scripps Health","CA","Healthcare Provider","147267","06/01/2021","Hacking/IT Incident","Network Server","No",""
"Superior HealthPlan","TX","Health Plan","2781","06/01/2021","Hacking/IT Incident","Network Server","Yes",""
"Five Rivers Health Centers","OH","Healthcare Provider","155748","05/28/2021","Hacking/IT Incident","Email","No",""
"Lafourche Medical Group","LA","Healthcare Provider","34862","05/28/2021","Hacking/IT Incident","Email","No",""
"Sturdy Memorial Hospital","MA","Healthcare Provider","57379","05/28/2021","Hacking/IT Incident","Network Server","No",""
"Walgreen Co.","IL","Healthcare Provider","6498","05/28/2021","Improper Disposal","Paper/Films","No",""
"SEIU 775 Benefits Group","WA","Business Associate","140000","05/27/2021","Hacking/IT Incident","Network Server","Yes",""
"Dean Health Servicing Company","WI","Business Associate","1025","05/26/2021","Hacking/IT Incident","Email","Yes",""
"LogicGate","IL","Business Associate","47035","05/26/2021","Hacking/IT Incident","Network Server","Yes",""
"Buckeye Health Plan","OH","Health Plan","2334","05/26/2021","Hacking/IT Incident","Network Server","Yes",""
"Center for Human Development ","MA","Healthcare Provider","5000","05/25/2021","Hacking/IT Incident","Network Server","No",""
"Harper County Community Hospital","OK","Healthcare Provider","5725","05/24/2021","Hacking/IT Incident","Network Server","No",""
"Aspen Dental Management LLC","NY","Business Associate","9620","05/21/2021","Theft","Laptop","Yes",""
"Westwood Obstetrics and Gynecology (“Westwood”)","IL","Healthcare Provider","12931","05/21/2021","Hacking/IT Incident","Network Server","Yes",""
"Beech Acres Parenting Center","OH","Healthcare Provider","8212","05/21/2021","Hacking/IT Incident","Email","No",""
"Swedish Covenant Health DBA Swedish Hospital ","IL","Healthcare Provider","4206","05/20/2021","Hacking/IT Incident","Email","No",""
"Rehoboth McKinley Christian Health Care Services","NM","Healthcare Provider","207195","05/19/2021","Hacking/IT Incident","Network Server","No",""
"Southwestern Indiana Regional Council on Aging","IN","Healthcare Provider","4250","05/19/2021","Hacking/IT Incident","Email","No",""
"CareSouth Carolina, Inc.","SC","Healthcare Provider","76035","05/14/2021","Hacking/IT Incident","Network Server","Yes",""
"Community Access Unlimited","NJ","Business Associate","13813","05/13/2021","Hacking/IT Incident","Network Server","Yes",""
"InVue Security Products, Inc. Employee Group Health Plan","NC","Health Plan","1062","05/12/2021","Hacking/IT Incident","Network Server","No",""
"New England Dermatology and Laser Center, P.C.","MA","Healthcare Provider","58106","05/11/2021","Improper Disposal","Paper/Films","No",""
"Master Equity Texas Limited Partnership","TX","Healthcare Clearing House","1962","05/11/2021","Unauthorized Access/Disclosure","Email","No",""
"UnitedHealth Group Health Plan SACE","MN","Health Plan","666","05/10/2021","Unauthorized Access/Disclosure","Network Server, Other","No",""
"Nocona General Hospital","TX","Healthcare Provider","3254","05/07/2021","Hacking/IT Incident","Network Server","No",""
"Brownsville Community Health Center dba New Horizon Medical Center","TX","Healthcare Provider","4258","05/06/2021","Hacking/IT Incident","Network Server","Yes",""
"Implant and Prosthodontic Associates","OK","Healthcare Provider","6134","05/06/2021","Theft","Other Portable Electronic Device","No",""
"NEC Networks, LLC d/b/a CaptureRx","TX","Business Associate","1656569","05/05/2021","Hacking/IT Incident","Network Server","Yes",""
"Orthopedic Associates of Dutchess County ","NY","Healthcare Provider","331376","05/04/2021","Hacking/IT Incident","Network Server","No",""
"Arizona Asthma and Allergy Institute","AZ","Healthcare Provider","70372","05/03/2021","Hacking/IT Incident","Network Server","No",""
"LifeBridge Community Gastroenterology, LLC dba Woodholme Gastroenterology","MD","Healthcare Provider","50000","04/30/2021","Hacking/IT Incident","Network Server","No",""
"Achievement Center of LECOM Health","PA","Healthcare Provider","1671","04/30/2021","Hacking/IT Incident","Email","No",""
"St. John's Well Child and Family Center, Inc. ","CA","Healthcare Provider","29030","04/29/2021","Hacking/IT Incident","Network Server","No",""
"Wyoming Department of Health","WY","Health Plan","164010","04/29/2021","Unauthorized Access/Disclosure","Network Server","No",""
"Hand to Shoulder Specialists of Wisconsin Ltd.","WI","Healthcare Provider","39317","04/28/2021","Hacking/IT Incident","Network Server","No",""
"NPS Corporation","WI","Health Plan","999","04/28/2021","Hacking/IT Incident","Network Server","No",""
"Werner Electric Supply","WI","Health Plan","720","04/28/2021","Hacking/IT Incident","Network Server","No",""
"East Brunswick Open Upright MRI, LLC","NJ","Healthcare Provider","12151","04/28/2021","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Open Upright MRI, LLC, d/b/a Woodbridge Radiology","NJ","Healthcare Provider","25272","04/28/2021","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Middletown Ventures Associates, LLC, d/b/a Middletown Medical Imaging","NJ","Healthcare Provider","29945","04/28/2021","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Peak Vista Community Health Centers","CO","Healthcare Provider","3118","04/26/2021","Theft","Desktop Computer","No",""
"Allergy Partners, PLLC","NC","Healthcare Provider","1087","04/23/2021","Hacking/IT Incident","Network Server","No",""
"Catholic Charities of North Dakota","ND","Healthcare Provider","1901","04/23/2021","Hacking/IT Incident","Email","No",""
"Entrust Medical Billing ","OH","Healthcare Provider","5426","04/22/2021","Hacking/IT Incident","Network Server","No",""
"Pediatric Associates of Milwaukee","WI","Healthcare Provider","8160","04/22/2021","Hacking/IT Incident","Network Server","No",""
"Gyrodata Incorporated","TX","Health Plan","944","04/22/2021","Hacking/IT Incident","Network Server","No",""
"Center for Disease Detection, LLC","TX","Healthcare Provider","2436","04/21/2021","Unauthorized Access/Disclosure","Email","No",""
"Health Aid of Ohio, Inc.","OH","Healthcare Provider","141149","04/20/2021","Hacking/IT Incident","Network Server","No",""
"Kanan Medical, L.L.C","FL","Healthcare Provider","823","04/19/2021","Unauthorized Access/Disclosure","Electronic Medical Record, Laptop, Network Server","No",""
"Urgent HomeMD","TX","Healthcare Provider","615","04/19/2021","Hacking/IT Incident","Email","No",""
"Texas MedClinic","TX","Healthcare Provider","6638","04/16/2021","Unauthorized Access/Disclosure","Other Portable Electronic Device","No",""
"Chautauqua County","NY","Healthcare Provider","537","04/16/2021","Unauthorized Access/Disclosure","Email","No",""
"Sterling Area Health Center","MI","Healthcare Provider","3347","04/15/2021","Hacking/IT Incident","Network Server","Yes",""
"Montefiore Medical Center ","NY","Healthcare Provider","943","04/13/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Midwest Transplant Network, Inc.  ","KS","Healthcare Provider","17580","04/12/2021","Hacking/IT Incident","Network Server","No",""
"Regence","OR","Health Plan","803","04/12/2021","Hacking/IT Incident","Email","Yes",""
"HME Specialists, LLC dba Home Medical Equipment Holdco, LLC","NM","Healthcare Provider","153013","04/09/2021","Hacking/IT Incident","Email","No",""
"Wolfe Clinic, P.C.","IA","Healthcare Provider","527378","04/09/2021","Hacking/IT Incident","Network Server","No",""
"Crystal Lake Clinic PC","MI","Healthcare Provider","37331","04/09/2021","Hacking/IT Incident","Network Server","No",""
"Harbor Health Services, Inc.","MA","Healthcare Provider","901","04/09/2021","Hacking/IT Incident","Network Server","Yes",""
"Aloha Practice Management LLC","CA","Business Associate","3835","04/07/2021","Hacking/IT Incident","Network Server","Yes",""
"Winona Agency, Inc.","MN","Business Associate","4834","04/06/2021","Hacking/IT Incident","Email","Yes",""
"Maestro Health, LLC","IL","Business Associate","2016","04/06/2021","Hacking/IT Incident","Email","Yes",""
"Atlanta Allergy & Asthma","GA","Healthcare Provider","9851","04/05/2021","Hacking/IT Incident","Network Server","No",""
"Trinity Health","MI","Business Associate","586869","04/05/2021","Hacking/IT Incident","Network Server","Yes",""
"Total Health Care Inc.","MI","Health Plan","221454","04/05/2021","Hacking/IT Incident","Email","No",""
"Bricker & Eckler LLP","OH","Business Associate","420532","04/02/2021","Hacking/IT Incident","Network Server","Yes",""
"Cornerstone Municipal Advisory Group LLC dba Manquen Vance","MI","Business Associate","7018","04/02/2021","Hacking/IT Incident","Email","Yes",""
"Belden Inc.","MO","Health Plan","6348","04/02/2021","Hacking/IT Incident","Network Server","No",""
"Squirrel Hill Health Center","PA","Healthcare Provider","23869","04/02/2021","Hacking/IT Incident","Network Server","No",""
"Med-Data Incorporated","TX","Business Associate","135908","04/01/2021","Unauthorized Access/Disclosure","Other","Yes",""
"Health Prime International ","MD","Business Associate","17562","03/31/2021","Hacking/IT Incident","Network Server","Yes",""
"University Medical Center Southern Nevada","NV","Healthcare Provider","1833","03/31/2021","Unauthorized Access/Disclosure","Network Server","Yes",""
"Memorial Hermann Health System","TX","Healthcare Provider","1893","03/31/2021","Unauthorized Access/Disclosure","Other","Yes",""
"Memorial Sloan Kettering Cancer Center","NY","Healthcare Provider","18913","03/31/2021","Unauthorized Access/Disclosure","Network Server","Yes",""
"Three Lower Counties Community Services, Inc. d/b/a Chesapeake Health Care","MD","Healthcare Provider","2505","03/31/2021","Unauthorized Access/Disclosure","Other Portable Electronic Device","No",""
"La Clinica de La Raza, Inc. (La Clinica)","CA","Healthcare Provider","31132","03/29/2021","Hacking/IT Incident","Network Server","No",""
"Midland Care Connection Inc","KS","Healthcare Provider","1364","03/29/2021","Hacking/IT Incident","Network Server","Yes",""
"Apple Valley Clinic","MN","Healthcare Provider","157939","03/26/2021","Hacking/IT Incident","Network Server","Yes",""
"BioTel Heart","PA","Healthcare Provider","38575","03/26/2021","Hacking/IT Incident","Network Server","Yes",""
"The Centers for Advanced Orthopaedics","MD","Healthcare Provider","125291","03/25/2021","Hacking/IT Incident","Email","No",""
"Citywide Health Plan","UT","Health Plan","3321","03/24/2021","Hacking/IT Incident","Network Server","No",""
"San Fernando Valley Medical Group, Inc.","CA","Healthcare Provider","1657","03/24/2021","Hacking/IT Incident","Network Server","No",""
"Mott Community College","MI","Health Plan","1612","03/24/2021","Hacking/IT Incident","Network Server","No",""
"Haven Behavioral Healthcare","TN","Business Associate","21714","03/23/2021","Hacking/IT Incident","Network Server","Yes",""
"University of Miami","FL","Healthcare Provider","500","03/23/2021","Hacking/IT Incident","Network Server","No",""
"Illinois Department of Healthcare and Family Services ","IL","Health Plan","8848","03/22/2021","Unauthorized Access/Disclosure","Paper/Films","No",""
"Gastroenterology Consultants, PA","TX","Healthcare Provider","161698","03/19/2021","Hacking/IT Incident","Network Server","No",""
"Cancer Treatment Centers of America at Midwestern Regional Medical Center","IL","Healthcare Provider","104808","03/19/2021","Hacking/IT Incident","Email","No",""
"Brandman Centers for Senior Care","CA","Health Plan","522","03/18/2021","Hacking/IT Incident","Network Server","Yes",""
"Florida PACE Centers, Inc","FL","Health Plan","1502","03/18/2021","Unauthorized Access/Disclosure","Network Server","Yes",""
"Sleep Medicine Associates of Texas, P.A.","TX","Healthcare Provider","994","03/17/2021","Unauthorized Access/Disclosure","Paper/Films","No",""
"Serenity Care PACE","MA","Healthcare Provider","658","03/16/2021","Unauthorized Access/Disclosure","Network Server, Other","Yes",""
"Colorado Retina Associates, P.C.","CO","Healthcare Provider","26609","03/12/2021","Hacking/IT Incident","Email","No",""
"Mobile Anesthesiologists ","IL","Healthcare Provider","65403","03/10/2021","Hacking/IT Incident","Network Server","No",""
"Child Focus, Inc.","OH","Healthcare Provider","2716","03/05/2021","Hacking/IT Incident","Laptop, Network Server","No",""
"The Board of Trustees of Southern Illinois University, for and on behalf of its School of Medicine, and SIU Physicians & Surgeons, Inc. ","IL","Healthcare Provider","40330","03/05/2021","Hacking/IT Incident","Network Server","No",""
